p+n->D+γ,D+p->He3+γ,D+D->n+He3,D+D->p+T,He3+n->p+T,T+D->n+He4,He3+D->p+He4,He3+He4->Be7+γ,T+He4->Li7+γ,Be7+n->p+Li7,Li7+p->He4+He4
6.7266983573764776e+16,6410640172032543.0,257335278.40803918,185001540.1912586,1239719985.6293054,8539974.303730318,8435931.360717319,1.4713830493074684e+16,1.379818945448535e+16,1121525820.0738204,513427.52670073713
6.587553391594372e+16,6246424935316680.0,248629540.4618428,178433851.7265909,1204597244.1155431,8034990.935904505,7909521.672285592,1.4381448648083256e+16,1.3537224317437734e+16,1087580661.5932376,480485.8109201998
6.45100121117174e+16,6085731249044988.0,240202231.3650427,172085101.17137697,1170451253.705486,7557137.557664655,7413149.095531736,1.40555579157609e+16,1.3280523484668294e+16,1054627393.1434146,449497.85158581653
6.316994459048054e+16,5928498189417791.0,232044882.94082415,165948405.08465213,1137255219.686036,7105112.41964141,6945269.327336871,1.3736055176972388e+16,1.3028025843098994e+16,1022637835.7181084,420357.60835968284
6.1854867302790616e+16,5774665665517784.0,224149274.0991301,160017085.78952014,1104983075.3982,6677668.240670948,6504408.192278573,1.3422838411000866e+16,1.277967109602356e+16,991584594.3067045,392964.2433722874
6.056432555618811e+16,5624174409236773.0,216507423.84666508,154284665.45863944,1073609462.582404,6273610.288122319,6089158.907113778,1.3115806697673614e+16,1.2535399752053512e+16,961441036.3959192,367221.8938624341
5.92978738476662e+16,5476965965353790.0,209111584.49056917,148744860.36520854,1043109712.2521316,5891794.512325391,5698179.433367962,1.2814860218957016e+16,1.2295153114215472e+16,932181271.0553633,343039.45352693973
5.80550756934423e+16,5332982681761954.0,201954235.03046235,143391575.29489344,1013459826.0817033,5531125.733963013,5330189.915805134,1.2519900260040324e+16,1.2058873269197408e+16,903780128.5911915,320330.36229116854
5.683550345664605e+16,5192167699842011.0,195028074.73371264,138218898.11427158,984636458.2944345,5190555.883309821,4983970.204597205,1.2230829209927308e+16,1.1826503076742262e+16,876213140.7525259,299012.4042198863
5.5638738173475576e+16,5054464944980065.0,188326016.88891074,133221094.49147888,956616898.0377417,4869082.290217057,4658357.459053177,1.1947550561554522e+16,1.1597986159186694e+16,849456521.4757104,279007.51329603454
5.4464369378345624e+16,4919819117227341.0,181841182.73268053,128392602.76487242,929379052.2321618,4565746.023760826,4352243.830810683,1.1669968911454206e+16,1.137326689114326e+16,823487148.1518973,260241.58680298438
5.33119949284929e+16,4788175682099645.0,175566895.54507864,123728028.95562923,902901428.8815677,4279630.280487462,4064574.224432781,1.1397989958979464e+16,1.1152290389324186e+16,798282543.4038297,242644.30605351846
5.218122082848063e+16,4659480861514261.0,169496674.90896747,119222141.920314,877163120.8322147,4009858.8202064866,3794344.1333929785,1.1131520505108568e+16,1.0935002502504674e+16,773820857.3580604,226148.96421631388
5.107166105499019e+16,4533681624862125.0,163624231.1288751,114869868.63956024,852143789.9685956,3755594.448297702,3540597.54947066,1.0870468450845078e+16,1.0721349801624254e+16,750080850.3992493,210692.30099799408
4.9982937382270264e+16,4410725680212936.5,157943459.80497044,110666289.63910878,827823651.8343793,3516037.5435145614,3302424.943617351,1.061474279522966e+16,1.0511279570024104e+16,727041876.3934973,196214.34394592023
4.891467920856599e+16,4290561465651098.5,152448436.55790594,106606634.53955457,804183460.6670424,3290424.6302815625,3078961.316392129,1.036425363297927e+16,1.0304739793818736e+16,704683866.368063,182658.2561438187
4.786652338383231e+16,4173138140740248.5,147133411.90039396,102686277.73125023,781204494.8351002,3078026.994498348,2869384.3161012796,1.0118912151768612e+16,1.0101679152400292e+16,682987312.6351244,169970.1900790552
4.683811403899766e+16,4058405578114196.0,141992806.25149357,98900734.17091115,758868542.6671373,2878149.341878024,2672912.4228137895,9878630629168740.0,9902047009073678.0,661933253.347592,158099.14746692582
4.582910241702437e+16,3946314355192122.0,137021205.08969563,95245655.2965627,737157888.6621305,2690128.497861691,2488803.1964598643,9643322429256754.0,9705793401820888.0,641503257.4752948,146996.84482370035
4.483914670598298e+16,3836815746015889.5,132213354.24100026,91716825.05756085,716055300.0708412,2513332.148165424,2316351.5872547613,9412901998910480.0,9512869034192846.0,621679410.1901842,136617.58458635912
